fileline,count,approx. time (s)
radon.lua,208.0,6.0,0.0
radon.lua,209.0,3.0,0.0
radon.lua,210.0,14.0,0.0
radon.lua,211.0,13.0,0.0
radon.lua,212.0,13.0,0.0
radon.lua,213.0,13.0,0.0
radon.lua,214.0,1.0,0.0
radon.lua,215.0,1.0,0.0
radon.lua,216.0,1.0,0.0
solyd.lua,217.0,1.0,0.0
solyd.lua,220.0,1.0,0.0
radon.lua,222.0,4.0,0.0
radon.lua,223.0,2.0,0.0
radon.lua,224.0,2.0,0.0
radon.lua,225.0,2.0,0.0
radon.lua,226.0,2.0,0.0
radon.lua,227.0,2.0,0.0
radon.lua,228.0,2.0,0.0
radon.lua,229.0,2.0,0.0
radon.lua,230.0,2.0,0.0
solyd.lua,233.0,17.0,0.0
radon.lua,234.0,2.0,0.0
radon.lua,236.0,2.0,0.0
solyd.lua,237.0,17.0,0.0
radon.lua,240.0,1.0,0.0
radon.lua,241.0,18.0,0.0
radon.lua,242.0,21.0,0.0
radon.lua,243.0,3.0,0.0
radon.lua,244.0,3.0,0.0
radon.lua,245.0,3.0,0.0
radon.lua,246.0,3.0,0.0
radon.lua,247.0,1.0,0.0
radon.lua,248.0,1.0,0.0
radon.lua,249.0,2.0,0.0
radon.lua,251.0,2.0,0.0
radon.lua,252.0,1.0,0.0
radon.lua,253.0,1.0,0.0
radon.lua,254.0,1.0,0.0
radon.lua,258.0,3.0,0.0
radon.lua,259.0,3.0,0.0
radon.lua,261.0,6.0,0.0
radon.lua,262.0,3.0,0.0
radon.lua,263.0,3.0,0.0
radon.lua,264.0,3.0,0.0
radon.lua,265.0,3.0,0.0
radon.lua,266.0,3.0,0.0
radon.lua,267.0,3.0,0.0
radon.lua,268.0,3.0,0.0
radon.lua,269.0,3.0,0.0
radon.lua,274.0,3.0,0.0
radon.lua,275.0,3.0,0.0
radon.lua,279.0,1.0,0.0
radon.lua,280.0,1.0,0.0
radon.lua,281.0,1.0,0.0
radon.lua,282.0,1.0,0.0
radon.lua,283.0,1.0,0.0
radon.lua,284.0,1.0,0.0
radon.lua,297.0,1.0,0.0
radon.lua,298.0,1.0,0.0
radon.lua,299.0,1.0,0.0
radon.lua,302.0,13.0,0.0
radon.lua,303.0,12.0,0.0
radon.lua,308.0,12.0,0.0
canvas.lua,310.0,1.0,0.0
radon.lua,311.0,12.0,0.0
solyd.lua,315.0,18.0,0.0
solyd.lua,317.0,17.0,0.0
radon.lua,320.0,1.0,0.0
solyd.lua,322.0,17.0,0.0
solyd.lua,323.0,17.0,0.0
solyd.lua,327.0,17.0,0.0
solyd.lua,328.0,17.0,0.0
solyd.lua,329.0,17.0,0.0
solyd.lua,330.0,17.0,0.0
solyd.lua,331.0,17.0,0.0
solyd.lua,332.0,18.0,0.0
solyd.lua,333.0,18.0,0.0
radon.lua,334.0,1.0,0.0
solyd.lua,335.0,17.0,0.0
solyd.lua,338.0,17.0,0.0
solyd.lua,340.0,17.0,0.0
radon.lua,345.0,18.0,0.0
solyd.lua,346.0,17.0,0.0
radon.lua,347.0,1.0,0.0
radon.lua,349.0,1.0,0.0
radon.lua,351.0,1.0,0.0
solyd.lua,352.0,18.0,0.0
solyd.lua,355.0,17.0,0.0
solyd.lua,358.0,17.0,0.0
solyd.lua,360.0,11.0,0.0
canvas.lua,362.0,4.0,0.0
canvas.lua,363.0,4.0,0.0
canvas.lua,367.0,4.0,0.0
canvas.lua,368.0,4.0,0.0
solyd.lua,370.0,15.0,0.0
canvas.lua,371.0,105.0,0.0
canvas.lua,372.0,101.0,1.0
solyd.lua,373.0,6.0,0.0
solyd.lua,374.0,5.0,0.0
solyd.lua,375.0,5.0,0.0
canvas.lua,376.0,101.0,0.0
canvas.lua,377.0,101.0,0.0
canvas.lua,378.0,106.0,0.0
canvas.lua,379.0,101.0,0.0
canvas.lua,381.0,9.0,0.0
solyd.lua,382.0,5.0,0.0
solyd.lua,384.0,1.0,0.0
solyd.lua,386.0,1.0,0.0
solyd.lua,389.0,1.0,0.0
solyd.lua,393.0,1.0,0.0
solyd.lua,395.0,1.0,0.0
solyd.lua,397.0,1.0,0.0
solyd.lua,398.0,12.0,0.0
solyd.lua,399.0,11.0,0.0
solyd.lua,400.0,4.0,0.0
solyd.lua,401.0,4.0,0.0
solyd.lua,405.0,4.0,0.0
solyd.lua,406.0,4.0,0.0
solyd.lua,407.0,4.0,0.0
solyd.lua,408.0,7.0,0.0
solyd.lua,409.0,7.0,0.0
solyd.lua,410.0,7.0,0.0
solyd.lua,411.0,7.0,0.0
solyd.lua,415.0,7.0,0.0
solyd.lua,416.0,7.0,0.0
solyd.lua,417.0,7.0,0.0
solyd.lua,422.0,11.0,0.0
solyd.lua,426.0,1.0,0.0
solyd.lua,432.0,1.0,0.0
solyd.lua,436.0,17.0,0.0
solyd.lua,439.0,17.0,0.0
solyd.lua,446.0,1.0,0.0
solyd.lua,447.0,1.0,0.0
solyd.lua,448.0,18.0,0.0
solyd.lua,449.0,17.0,0.0
solyd.lua,450.0,17.0,0.0
solyd.lua,451.0,17.0,0.0
solyd.lua,452.0,18.0,0.0
solyd.lua,453.0,17.0,0.0
solyd.lua,454.0,17.0,0.0
solyd.lua,455.0,113.0,1.0
solyd.lua,456.0,97.0,0.0
canvas.lua,457.0,1.0,0.0
canvas.lua,458.0,7.0,0.0
solyd.lua,459.0,102.0,0.0
canvas.lua,460.0,66.0,0.0
canvas.lua,461.0,60.0,0.0
solyd.lua,462.0,17.0,0.0
canvas.lua,468.0,13.0,0.0
solyd.lua,469.0,29.0,0.0
canvas.lua,470.0,12.0,0.0
canvas.lua,472.0,12.0,0.0
solyd.lua,473.0,17.0,0.0
solyd.lua,474.0,18.0,0.0
solyd.lua,475.0,17.0,0.0
solyd.lua,477.0,61.0,0.0
solyd.lua,478.0,19817.0,27.0
canvas.lua,479.0,19769.0,49.0
canvas.lua,480.0,19769.0,27.0
solyd.lua,481.0,19770.0,41.0
canvas.lua,482.0,19769.0,34.0
canvas.lua,483.0,281.0,0.0
solyd.lua,484.0,1.0,0.0
canvas.lua,486.0,12.0,0.0
canvas.lua,493.0,1.0,0.0
canvas.lua,494.0,1.0,0.0
canvas.lua,495.0,4.0,0.0
canvas.lua,497.0,4.0,0.0
canvas.lua,498.0,4.0,0.0
canvas.lua,499.0,233.0,0.0
canvas.lua,500.0,1664335.0,2739.0
canvas.lua,501.0,1664106.0,2770.0
canvas.lua,502.0,1664105.0,2785.0
canvas.lua,503.0,1664105.0,2925.0
canvas.lua,504.0,46000.0,69.0
canvas.lua,505.0,46000.0,75.0
canvas.lua,506.0,46000.0,70.0
canvas.lua,509.0,3.0,0.0
solyd.lua,540.0,1.0,0.0
solyd.lua,530.0,1.0,0.0
solyd.lua,532.0,1.0,0.0
solyd.lua,534.0,1.0,0.0
solyd.lua,535.0,1.0,0.0
solyd.lua,536.0,1.0,0.0
solyd.lua,522.0,1.0,0.0
solyd.lua,538.0,8.0,0.0
solyd.lua,549.0,17.0,0.0
11808.0,second(s),total,(approximately).
